I	एक
MCDXXIV	एक हज़ार चार सौ चौबीस
MCDXXV	एक हज़ार चार सौ पच्चीस
MCDXXVI	एक हज़ार चार सौ छब्बीस
MCDXXVII	एक हज़ार चार सौ सत्ताईस
MCDXXVIII	एक हज़ार चार सौ अट्ठाईस
MCDXXIX	एक हज़ार चार सौ उनतीस
MCDXXX	एक हज़ार चार सौ तीस
MCDXXXI	एक हज़ार चार सौ इकतीस
MCDXXXII	एक हज़ार चार सौ बत्तीस
MCDXXXIII	एक हज़ार चार सौ तैंतीस
MCDXXXIV	एक हज़ार चार सौ चौंतीस
MCDXXXV	एक हज़ार चार सौ पैंतीस
MCDXXXVI	एक हज़ार चार सौ छत्तीस
MCDXXXVII	एक हज़ार चार सौ सैंतीस
MCDXXXVIII	एक हज़ार चार सौ अड़तीस
MCDXXXIX	एक हज़ार चार सौ उनतालीस
MCDXL	एक हज़ार चार सौ चालीस
MCDXLI	एक हज़ार चार सौ इकतालीस
MCDXLII	एक हज़ार चार सौ बयालीस
MCDXLIII	एक हज़ार चार सौ तैंतालीस
MCDXLIV	एक हज़ार चार सौ चौवालीस
MCDXLV	एक हज़ार चार सौ पैंतालीस
MCDXLVI	एक हज़ार चार सौ छियालीस
MCDXLVII	एक हज़ार चार सौ सैंतालीस
MCDXLVIII	एक हज़ार चार सौ अड़तालीस
MCDXLIX	एक हज़ार चार सौ उनचास
MCDL	एक हज़ार चार सौ पचास
MCDLI	एक हज़ार चार सौ इक्यावन
MCDLII	एक हज़ार चार सौ बावन
MCDLIII	एक हज़ार चार सौ तिरेपन
MCDLIV	एक हज़ार चार सौ चौवन
MCDLV	एक हज़ार चार सौ पचपन
MCDLVI	एक हज़ार चार सौ छप्पन
MCDLVII	एक हज़ार चार सौ सत्तावन
MCDLVIII	एक हज़ार चार सौ अट्ठावन
MCDLIX	एक हज़ार चार सौ उनसठ
MCDLX	एक हज़ार चार सौ साठ
MCDLXI	एक हज़ार चार सौ इकसठ
MCDLXII	एक हज़ार चार सौ बासठ
MCDLXIII	एक हज़ार चार सौ तिरेसठ
MCDLXIV	एक हज़ार चार सौ चौंसठ
MCDLXV	एक हज़ार चार सौ पैंसठ
MCDLXVI	एक हज़ार चार सौ छियासठ
MCDLXVII	एक हज़ार चार सौ सड़सठ
MCDLXVIII	एक हज़ार चार सौ अड़सठ
MCDLXIX	एक हज़ार चार सौ उनहत्तर
MCDLXX	एक हज़ार चार सौ सत्तर
MCDLXXI	एक हज़ार चार सौ इकहत्तर
MCDLXXII	एक हज़ार चार सौ बहत्तर
MCDLXXIII	एक हज़ार चार सौ तिहत्तर
MCDLXXIV	एक हज़ार चार सौ चौहत्तर
MCDLXXV	एक हज़ार चार सौ पचहत्तर
MCDLXXVI	एक हज़ार चार सौ छिहत्तर
MCDLXXVII	एक हज़ार चार सौ सतहत्तर
MCDLXXVIII	एक हज़ार चार सौ अठहत्तर
MCDLXXIX	एक हज़ार चार सौ उनासी
MCDLXXX	एक हज़ार चार सौ अस्सी
MCDLXXXI	एक हज़ार चार सौ इक्यासी
MCDLXXXII	एक हज़ार चार सौ बयासी
MCDLXXXIII	एक हज़ार चार सौ तिरासी
MCDLXXXIV	एक हज़ार चार सौ चौरासी
MCDLXXXV	एक हज़ार चार सौ पचासी
MCDLXXXVI	एक हज़ार चार सौ छियासी
MCDLXXXVII	एक हज़ार चार सौ सत्तासी
MCDLXXXVIII	एक हज़ार चार सौ अट्ठासी
MCDLXXXIX	एक हज़ार चार सौ नवासी
MCDXC	एक हज़ार चार सौ नब्बे
MCDXCI	एक हज़ार चार सौ इक्यानबे
MCDXCII	एक हज़ार चार सौ बानबे
MCDXCIII	एक हज़ार चार सौ तिरानबे
MCDXCIV	एक हज़ार चार सौ चौरानबे
MCDXCV	एक हज़ार चार सौ पंचानबे
MCDXCVI	एक हज़ार चार सौ छियानबे
MCDXCVII	एक हज़ार चार सौ सत्तानबे
MCDXCVIII	एक हज़ार चार सौ अट्ठानबे
MCDXCIX	एक हज़ार चार सौ निन्यानबे
MD	एक हज़ार पाँच सौ
MDI	एक हज़ार पाँच सौ एक
MDII	एक हज़ार पाँच सौ दो
MDIII	एक हज़ार पाँच सौ तीन
MDIV	एक हज़ार पाँच सौ चार
MDV	एक हज़ार पाँच सौ पाँच
MDVI	एक हज़ार पाँच सौ छह
MDVII	एक हज़ार पाँच सौ सात
MDVIII	एक हज़ार पाँच सौ आठ
MDIX	एक हज़ार पाँच सौ नौ
MDX	एक हज़ार पाँच सौ दस
MDXI	एक हज़ार पाँच सौ ग्यारह
MDXII	एक हज़ार पाँच सौ बारह
MDXIII	एक हज़ार पाँच सौ तेरह
MDXIV	एक हज़ार पाँच सौ चौदह
MDXV	एक हज़ार पाँच सौ पंद्रह
MDXVI	एक हज़ार पाँच सौ सोलह
MDXVII	एक हज़ार पाँच सौ सत्रह
MDXVIII	एक हज़ार पाँच सौ अठारह
MDXIX	एक हज़ार पाँच सौ उन्नीस
MDXX	एक हज़ार पाँच सौ बीस
MDXXI	एक हज़ार पाँच सौ इक्कीस
MDXXII	एक हज़ार पाँच सौ बाईस
MDXXIII	एक हज़ार पाँच सौ तेईस
MDXXIV	एक हज़ार पाँच सौ चौबीस
MDXXV	एक हज़ार पाँच सौ पच्चीस
MDXXVI	एक हज़ार पाँच सौ छब्बीस
MDXXVII	एक हज़ार पाँच सौ सत्ताईस
MDXXVIII	एक हज़ार पाँच सौ अट्ठाईस
MDXXIX	एक हज़ार पाँच सौ उनतीस
MDXXX	एक हज़ार पाँच सौ तीस
MDXXXI	एक हज़ार पाँच सौ इकतीस
MDXXXII	एक हज़ार पाँच सौ बत्तीस
MDXXXIII	एक हज़ार पाँच सौ तैंतीस
MDXXXIV	एक हज़ार पाँच सौ चौंतीस
MDXXXV	एक हज़ार पाँच सौ पैंतीस
MDXXXVI	एक हज़ार पाँच सौ छत्तीस
MDXXXVII	एक हज़ार पाँच सौ सैंतीस
MDXXXVIII	एक हज़ार पाँच सौ अड़तीस
MDXXXIX	एक हज़ार पाँच सौ उनतालीस
MDXL	एक हज़ार पाँच सौ चालीस
MDXLI	एक हज़ार पाँच सौ इकतालीस
MDXLII	एक हज़ार पाँच सौ बयालीस
MDXLIII	एक हज़ार पाँच सौ तैंतालीस
MDXLIV	एक हज़ार पाँच सौ चौवालीस
MDXLV	एक हज़ार पाँच सौ पैंतालीस
MDXLVI	एक हज़ार पाँच सौ छियालीस
MDXLVII	एक हज़ार पाँच सौ सैंतालीस
MDXLVIII	एक हज़ार पाँच सौ अड़तालीस
MDXLIX	एक हज़ार पाँच सौ उनचास
MDL	एक हज़ार पाँच सौ पचास
MDLI	एक हज़ार पाँच सौ इक्यावन
MDLII	एक हज़ार पाँच सौ बावन
MDLIII	एक हज़ार पाँच सौ तिरेपन
MDLIV	एक हज़ार पाँच सौ चौवन
MDLV	एक हज़ार पाँच सौ पचपन
MDLVI	एक हज़ार पाँच सौ छप्पन
MDLVII	एक हज़ार पाँच सौ सत्तावन
MDLVIII	एक हज़ार पाँच सौ अट्ठावन
MDLIX	एक हज़ार पाँच सौ उनसठ
MDLX	एक हज़ार पाँच सौ साठ
MDLXI	एक हज़ार पाँच सौ इकसठ
MDLXII	एक हज़ार पाँच सौ बासठ
MDLXIII	एक हज़ार पाँच सौ तिरेसठ
MDLXIV	एक हज़ार पाँच सौ चौंसठ
MDLXV	एक हज़ार पाँच सौ पैंसठ
MDLXVI	एक हज़ार पाँच सौ छियासठ
MDLXVII	एक हज़ार पाँच सौ सड़सठ
MDLXVIII	एक हज़ार पाँच सौ अड़सठ
MDLXIX	एक हज़ार पाँच सौ उनहत्तर
MDLXX	एक हज़ार पाँच सौ सत्तर
MDLXXI	एक हज़ार पाँच सौ इकहत्तर
MDLXXII	एक हज़ार पाँच सौ बहत्तर
MDLXXIII	एक हज़ार पाँच सौ तिहत्तर
MDLXXIV	एक हज़ार पाँच सौ चौहत्तर
MDLXXV	एक हज़ार पाँच सौ पचहत्तर
MDLXXVI	एक हज़ार पाँच सौ छिहत्तर
MDLXXVII	एक हज़ार पाँच सौ सतहत्तर
MDLXXVIII	एक हज़ार पाँच सौ अठहत्तर
MDLXXIX	एक हज़ार पाँच सौ उनासी
MDLXXX	एक हज़ार पाँच सौ अस्सी
MDLXXXI	एक हज़ार पाँच सौ इक्यासी
MDLXXXII	एक हज़ार पाँच सौ बयासी
MDLXXXIII	एक हज़ार पाँच सौ तिरासी
MDLXXXIV	एक हज़ार पाँच सौ चौरासी
MDLXXXV	एक हज़ार पाँच सौ पचासी
MDLXXXVI	एक हज़ार पाँच सौ छियासी
MDLXXXVII	एक हज़ार पाँच सौ सत्तासी
MDLXXXVIII	एक हज़ार पाँच सौ अट्ठासी
MDLXXXIX	एक हज़ार पाँच सौ नवासी
MDXC	एक हज़ार पाँच सौ नब्बे
MDXCI	एक हज़ार पाँच सौ इक्यानबे
MDXCII	एक हज़ार पाँच सौ बानबे
MDXCIII	एक हज़ार पाँच सौ तिरानबे
MDXCIV	एक हज़ार पाँच सौ चौरानबे
MDXCV	एक हज़ार पाँच सौ पंचानबे
MDXCVI	एक हज़ार पाँच सौ छियानबे
MDXCVII	एक हज़ार पाँच सौ सत्तानबे
MDXCVIII	एक हज़ार पाँच सौ अट्ठानबे
MDXCIX	एक हज़ार पाँच सौ निन्यानबे
MDC	एक हज़ार छह सौ
MDCI	एक हज़ार छह सौ एक
MDCII	एक हज़ार छह सौ दो
MDCIII	एक हज़ार छह सौ तीन
MDCIV	एक हज़ार छह सौ चार
MDCV	एक हज़ार छह सौ पाँच
MDCVI	एक हज़ार छह सौ छह
MDCVII	एक हज़ार छह सौ सात
MDCVIII	एक हज़ार छह सौ आठ
MDCIX	एक हज़ार छह सौ नौ
MDCX	एक हज़ार छह सौ दस
MDCXI	एक हज़ार छह सौ ग्यारह
MDCXII	एक हज़ार छह सौ बारह
MDCXIII	एक हज़ार छह सौ तेरह
MDCXIV	एक हज़ार छह सौ चौदह
MDCXV	एक हज़ार छह सौ पंद्रह
MDCXVI	एक हज़ार छह सौ सोलह
MDCXVII	एक हज़ार छह सौ सत्रह
MDCXVIII	एक हज़ार छह सौ अठारह
MDCXIX	एक हज़ार छह सौ उन्नीस
MDCXX	एक हज़ार छह सौ बीस
MDCXXI	एक हज़ार छह सौ इक्कीस
MDCXXII	एक हज़ार छह सौ बाईस
MDCXXIII	एक हज़ार छह सौ तेईस
MDCXXIV	एक हज़ार छह सौ चौबीस
MDCXXV	एक हज़ार छह सौ पच्चीस
MDCXXVI	एक हज़ार छह सौ छब्बीस
MDCXXVII	एक हज़ार छह सौ सत्ताईस
MDCXXVIII	एक हज़ार छह सौ अट्ठाईस
MDCXXIX	एक हज़ार छह सौ उनतीस
MDCXXX	एक हज़ार छह सौ तीस
MDCXXXI	एक हज़ार छह सौ इकतीस
MDCXXXII	एक हज़ार छह सौ बत्तीस
MDCXXXIII	एक हज़ार छह सौ तैंतीस
MDCXXXIV	एक हज़ार छह सौ चौंतीस
MDCXXXV	एक हज़ार छह सौ पैंतीस
MDCXXXVI	एक हज़ार छह सौ छत्तीस
MDCXXXVII	एक हज़ार छह सौ सैंतीस
MDCXXXVIII	एक हज़ार छह सौ अड़तीस
MDCXXXIX	एक हज़ार छह सौ उनतालीस
MDCXL	एक हज़ार छह सौ चालीस
MDCXLI	एक हज़ार छह सौ इकतालीस
MDCXLII	एक हज़ार छह सौ बयालीस
MDCXLIII	एक हज़ार छह सौ तैंतालीस
MDCXLIV	एक हज़ार छह सौ चौवालीस
MDCXLV	एक हज़ार छह सौ पैंतालीस
MDCXLVI	एक हज़ार छह सौ छियालीस
MDCXLVII	एक हज़ार छह सौ सैंतालीस
MDCXLVIII	एक हज़ार छह सौ अड़तालीस
MDCXLIX	एक हज़ार छह सौ उनचास
MDCL	एक हज़ार छह सौ पचास
MDCLI	एक हज़ार छह सौ इक्यावन
MDCLII	एक हज़ार छह सौ बावन
MDCLIII	एक हज़ार छह सौ तिरेपन
MDCLIV	एक हज़ार छह सौ चौवन
MDCLV	एक हज़ार छह सौ पचपन
MDCLVI	एक हज़ार छह सौ छप्पन
MDCLVII	एक हज़ार छह सौ सत्तावन
MDCLVIII	एक हज़ार छह सौ अट्ठावन
MDCLIX	एक हज़ार छह सौ उनसठ
MDCLX	एक हज़ार छह सौ साठ
MDCLXI	एक हज़ार छह सौ इकसठ
MDCLXII	एक हज़ार छह सौ बासठ
MDCLXIII	एक हज़ार छह सौ तिरेसठ
MDCLXIV	एक हज़ार छह सौ चौंसठ
MDCLXV	एक हज़ार छह सौ पैंसठ
MDCLXVI	एक हज़ार छह सौ छियासठ
MDCLXVII	एक हज़ार छह सौ सड़सठ
MDCLXVIII	एक हज़ार छह सौ अड़सठ
MDCLXIX	एक हज़ार छह सौ उनहत्तर
MDCLXX	एक हज़ार छह सौ सत्तर
MDCLXXI	एक हज़ार छह सौ इकहत्तर
MDCLXXII	एक हज़ार छह सौ बहत्तर
MDCLXXIII	एक हज़ार छह सौ तिहत्तर
MDCLXXIV	एक हज़ार छह सौ चौहत्तर
MDCLXXV	एक हज़ार छह सौ पचहत्तर
MDCLXXVI	एक हज़ार छह सौ छिहत्तर
MDCLXXVII	एक हज़ार छह सौ सतहत्तर
MDCLXXVIII	एक हज़ार छह सौ अठहत्तर
MDCLXXIX	एक हज़ार छह सौ उनासी
MDCLXXX	एक हज़ार छह सौ अस्सी
MDCLXXXI	एक हज़ार छह सौ इक्यासी
MDCLXXXII	एक हज़ार छह सौ बयासी
MDCLXXXIII	एक हज़ार छह सौ तिरासी
MDCLXXXIV	एक हज़ार छह सौ चौरासी
MDCLXXXV	एक हज़ार छह सौ पचासी
MDCLXXXVI	एक हज़ार छह सौ छियासी
MDCLXXXVII	एक हज़ार छह सौ सत्तासी
MDCLXXXVIII	एक हज़ार छह सौ अट्ठासी
MDCLXXXIX	एक हज़ार छह सौ नवासी
MDCXC	एक हज़ार छह सौ नब्बे
MDCXCI	एक हज़ार छह सौ इक्यानबे
MDCXCII	एक हज़ार छह सौ बानबे
MDCXCIII	एक हज़ार छह सौ तिरानबे
MDCXCIV	एक हज़ार छह सौ चौरानबे
MDCXCV	एक हज़ार छह सौ पंचानबे
MDCXCVI	एक हज़ार छह सौ छियानबे
MDCXCVII	एक हज़ार छह सौ सत्तानबे
MDCXCVIII	एक हज़ार छह सौ अट्ठानबे
MDCXCIX	एक हज़ार छह सौ निन्यानबे
MDCC	एक हज़ार सात सौ
MDCCI	एक हज़ार सात सौ एक
MDCCII	एक हज़ार सात सौ दो
MDCCIII	एक हज़ार सात सौ तीन
MDCCIV	एक हज़ार सात सौ चार
MDCCV	एक हज़ार सात सौ पाँच
MDCCVI	एक हज़ार सात सौ छह
MDCCVII	एक हज़ार सात सौ सात
MDCCVIII	एक हज़ार सात सौ आठ
MDCCIX	एक हज़ार सात सौ नौ
MDCCX	एक हज़ार सात सौ दस
MDCCXI	एक हज़ार सात सौ ग्यारह
MDCCXII	एक हज़ार सात सौ बारह
MDCCXIII	एक हज़ार सात सौ तेरह
MDCCXIV	एक हज़ार सात सौ चौदह
MDCCXV	एक हज़ार सात सौ पंद्रह
MDCCXVI	एक हज़ार सात सौ सोलह
MDCCXVII	एक हज़ार सात सौ सत्रह
MDCCXVIII	एक हज़ार सात सौ अठारह
MDCCXIX	एक हज़ार सात सौ उन्नीस
MDCCXX	एक हज़ार सात सौ बीस
MDCCXXI	एक हज़ार सात सौ इक्कीस
MDCCXXII	एक हज़ार सात सौ बाईस
MDCCXXIII	एक हज़ार सात सौ तेईस
MDCCXXIV	एक हज़ार सात सौ चौबीस
MDCCXXV	एक हज़ार सात सौ पच्चीस
MDCCXXVI	एक हज़ार सात सौ छब्बीस
MDCCXXVII	एक हज़ार सात सौ सत्ताईस
MDCCXXVIII	एक हज़ार सात सौ अट्ठाईस
MDCCXXIX	एक हज़ार सात सौ उनतीस
MDCCXXX	एक हज़ार सात सौ तीस
MDCCXXXI	एक हज़ार सात सौ इकतीस
MDCCXXXII	एक हज़ार सात सौ बत्तीस
MDCCXXXIII	एक हज़ार सात सौ तैंतीस
MDCCXXXIV	एक हज़ार सात सौ चौंतीस
MDCCXXXV	एक हज़ार सात सौ पैंतीस
MDCCXXXVI	एक हज़ार सात सौ छत्तीस
MDCCXXXVII	एक हज़ार सात सौ सैंतीस
MDCCXXXVIII	एक हज़ार सात सौ अड़तीस
MDCCXXXIX	एक हज़ार सात सौ उनतालीस
MDCCXL	एक हज़ार सात सौ चालीस
MDCCXLI	एक हज़ार सात सौ इकतालीस
MDCCXLII	एक हज़ार सात सौ बयालीस
MDCCXLIII	एक हज़ार सात सौ तैंतालीस
MDCCXLIV	एक हज़ार सात सौ चौवालीस
MDCCXLV	एक हज़ार सात सौ पैंतालीस
MDCCXLVI	एक हज़ार सात सौ छियालीस
MDCCXLVII	एक हज़ार सात सौ सैंतालीस
MDCCXLVIII	एक हज़ार सात सौ अड़तालीस
MDCCXLIX	एक हज़ार सात सौ उनचास
MDCCL	एक हज़ार सात सौ पचास
MDCCLI	एक हज़ार सात सौ इक्यावन
MDCCLII	एक हज़ार सात सौ बावन
MDCCLIII	एक हज़ार सात सौ तिरेपन
MDCCLIV	एक हज़ार सात सौ चौवन
MDCCLV	एक हज़ार सात सौ पचपन
MDCCLVI	एक हज़ार सात सौ छप्पन
MDCCLVII	एक हज़ार सात सौ सत्तावन
MDCCLVIII	एक हज़ार सात सौ अट्ठावन
MDCCLIX	एक हज़ार सात सौ उनसठ
MDCCLX	एक हज़ार सात सौ साठ
MDCCLXI	एक हज़ार सात सौ इकसठ
MDCCLXII	एक हज़ार सात सौ बासठ
MDCCLXIII	एक हज़ार सात सौ तिरेसठ
MDCCLXIV	एक हज़ार सात सौ चौंसठ
MDCCLXV	एक हज़ार सात सौ पैंसठ
MDCCLXVI	एक हज़ार सात सौ छियासठ
MDCCLXVII	एक हज़ार सात सौ सड़सठ
MDCCLXVIII	एक हज़ार सात सौ अड़सठ
MDCCLXIX	एक हज़ार सात सौ उनहत्तर
MDCCLXX	एक हज़ार सात सौ सत्तर
MDCCLXXI	एक हज़ार सात सौ इकहत्तर
MDCCLXXII	एक हज़ार सात सौ बहत्तर
MDCCLXXIII	एक हज़ार सात सौ तिहत्तर
MDCCLXXIV	एक हज़ार सात सौ चौहत्तर
MDCCLXXV	एक हज़ार सात सौ पचहत्तर
MDCCLXXVI	एक हज़ार सात सौ छिहत्तर
MDCCLXXVII	एक हज़ार सात सौ सतहत्तर
MDCCLXXVIII	एक हज़ार सात सौ अठहत्तर
MDCCLXXIX	एक हज़ार सात सौ उनासी
MDCCLXXX	एक हज़ार सात सौ अस्सी
MDCCLXXXI	एक हज़ार सात सौ इक्यासी
MDCCLXXXII	एक हज़ार सात सौ बयासी
MDCCLXXXIII	एक हज़ार सात सौ तिरासी
MDCCLXXXIV	एक हज़ार सात सौ चौरासी
MDCCLXXXV	एक हज़ार सात सौ पचासी
MDCCLXXXVI	एक हज़ार सात सौ छियासी
MDCCLXXXVII	एक हज़ार सात सौ सत्तासी
MDCCLXXXVIII	एक हज़ार सात सौ अट्ठासी
MDCCLXXXIX	एक हज़ार सात सौ नवासी
MDCCXC	एक हज़ार सात सौ नब्बे
MDCCXCI	एक हज़ार सात सौ इक्यानबे
MDCCXCII	एक हज़ार सात सौ बानबे
MDCCXCIII	एक हज़ार सात सौ तिरानबे
MDCCXCIV	एक हज़ार सात सौ चौरानबे
MDCCXCV	एक हज़ार सात सौ पंचानबे
MDCCXCVI	एक हज़ार सात सौ छियानबे
MDCCXCVII	एक हज़ार सात सौ सत्तानबे
MDCCXCVIII	एक हज़ार सात सौ अट्ठानबे
MDCCXCIX	एक हज़ार सात सौ निन्यानबे
MDCCC	एक हज़ार आठ सौ
MDCCCI	एक हज़ार आठ सौ एक
MDCCCII	एक हज़ार आठ सौ दो
MDCCCIII	एक हज़ार आठ सौ तीन
MDCCCIV	एक हज़ार आठ सौ चार
MDCCCV	एक हज़ार आठ सौ पाँच
MDCCCVI	एक हज़ार आठ सौ छह
MDCCCVII	एक हज़ार आठ सौ सात
MDCCCVIII	एक हज़ार आठ सौ आठ
MDCCCIX	एक हज़ार आठ सौ नौ
MDCCCX	एक हज़ार आठ सौ दस
MDCCCXI	एक हज़ार आठ सौ ग्यारह
MDCCCXII	एक हज़ार आठ सौ बारह
MDCCCXIII	एक हज़ार आठ सौ तेरह
MDCCCXIV	एक हज़ार आठ सौ चौदह
MDCCCXV	एक हज़ार आठ सौ पंद्रह
MDCCCXVI	एक हज़ार आठ सौ सोलह
MDCCCXVII	एक हज़ार आठ सौ सत्रह
MDCCCXVIII	एक हज़ार आठ सौ अठारह
MDCCCXIX	एक हज़ार आठ सौ उन्नीस
MDCCCXX	एक हज़ार आठ सौ बीस
MDCCCXXI	एक हज़ार आठ सौ इक्कीस
MDCCCXXII	एक हज़ार आठ सौ बाईस
MDCCCXXIII	एक हज़ार आठ सौ तेईस
MDCCCXXIV	एक हज़ार आठ सौ चौबीस
MDCCCXXV	एक हज़ार आठ सौ पच्चीस
MDCCCXXVI	एक हज़ार आठ सौ छब्बीस
MDCCCXXVII	एक हज़ार आठ सौ सत्ताईस
MDCCCXXVIII	एक हज़ार आठ सौ अट्ठाईस
MDCCCXXIX	एक हज़ार आठ सौ उनतीस
MDCCCXXX	एक हज़ार आठ सौ तीस
MDCCCXXXI	एक हज़ार आठ सौ इकतीस
MDCCCXXXII	एक हज़ार आठ सौ बत्तीस
MDCCCXXXIII	एक हज़ार आठ सौ तैंतीस
MDCCCXXXIV	एक हज़ार आठ सौ चौंतीस
MDCCCXXXV	एक हज़ार आठ सौ पैंतीस
MDCCCXXXVI	एक हज़ार आठ सौ छत्तीस
MDCCCXXXVII	एक हज़ार आठ सौ सैंतीस
MDCCCXXXVIII	एक हज़ार आठ सौ अड़तीस
MDCCCXXXIX	एक हज़ार आठ सौ उनतालीस
MDCCCXL	एक हज़ार आठ सौ चालीस
MDCCCXLI	एक हज़ार आठ सौ इकतालीस
MDCCCXLII	एक हज़ार आठ सौ बयालीस
MDCCCXLIII	एक हज़ार आठ सौ तैंतालीस
MDCCCXLIV	एक हज़ार आठ सौ चौवालीस
MDCCCXLV	एक हज़ार आठ सौ पैंतालीस
MDCCCXLVI	एक हज़ार आठ सौ छियालीस
MDCCCXLVII	एक हज़ार आठ सौ सैंतालीस
MDCCCXLVIII	एक हज़ार आठ सौ अड़तालीस
MDCCCXLIX	एक हज़ार आठ सौ उनचास
MDCCCL	एक हज़ार आठ सौ पचास
MDCCCLI	एक हज़ार आठ सौ इक्यावन
MDCCCLII	एक हज़ार आठ सौ बावन
MDCCCLIII	एक हज़ार आठ सौ तिरेपन
MDCCCLIV	एक हज़ार आठ सौ चौवन
MDCCCLV	एक हज़ार आठ सौ पचपन
MDCCCLVI	एक हज़ार आठ सौ छप्पन
MDCCCLVII	एक हज़ार आठ सौ सत्तावन
MDCCCLVIII	एक हज़ार आठ सौ अट्ठावन
MDCCCLIX	एक हज़ार आठ सौ उनसठ
MDCCCLX	एक हज़ार आठ सौ साठ
MDCCCLXI	एक हज़ार आठ सौ इकसठ
MDCCCLXII	एक हज़ार आठ सौ बासठ
MDCCCLXIII	एक हज़ार आठ सौ तिरेसठ
MDCCCLXIV	एक हज़ार आठ सौ चौंसठ
MDCCCLXV	एक हज़ार आठ सौ पैंसठ
MDCCCLXVI	एक हज़ार आठ सौ छियासठ
MDCCCLXVII	एक हज़ार आठ सौ सड़सठ
MDCCCLXVIII	एक हज़ार आठ सौ अड़सठ
MDCCCLXIX	एक हज़ार आठ सौ उनहत्तर
MDCCCLXX	एक हज़ार आठ सौ सत्तर
MDCCCLXXI	एक हज़ार आठ सौ इकहत्तर
MDCCCLXXII	एक हज़ार आठ सौ बहत्तर
MDCCCLXXIII	एक हज़ार आठ सौ तिहत्तर
MDCCCLXXIV	एक हज़ार आठ सौ चौहत्तर
MDCCCLXXV	एक हज़ार आठ सौ पचहत्तर
MDCCCLXXVI	एक हज़ार आठ सौ छिहत्तर
MDCCCLXXVII	एक हज़ार आठ सौ सतहत्तर
MDCCCLXXVIII	एक हज़ार आठ सौ अठहत्तर
MDCCCLXXIX	एक हज़ार आठ सौ उनासी
MDCCCLXXX	एक हज़ार आठ सौ अस्सी
MDCCCLXXXI	एक हज़ार आठ सौ इक्यासी
MDCCCLXXXII	एक हज़ार आठ सौ बयासी
MDCCCLXXXIII	एक हज़ार आठ सौ तिरासी
MDCCCLXXXIV	एक हज़ार आठ सौ चौरासी
MDCCCLXXXV	एक हज़ार आठ सौ पचासी
MDCCCLXXXVI	एक हज़ार आठ सौ छियासी
MDCCCLXXXVII	एक हज़ार आठ सौ सत्तासी
MDCCCLXXXVIII	एक हज़ार आठ सौ अट्ठासी
MDCCCLXXXIX	एक हज़ार आठ सौ नवासी
MDCCCXC	एक हज़ार आठ सौ नब्बे
MDCCCXCI	एक हज़ार आठ सौ इक्यानबे
MDCCCXCII	एक हज़ार आठ सौ बानबे
MDCCCXCIII	एक हज़ार आठ सौ तिरानबे
MDCCCXCIV	एक हज़ार आठ सौ चौरानबे
MDCCCXCV	एक हज़ार आठ सौ पंचानबे
MDCCCXCVI	एक हज़ार आठ सौ छियानबे
MDCCCXCVII	एक हज़ार आठ सौ सत्तानबे
MDCCCXCVIII	एक हज़ार आठ सौ अट्ठानबे
MDCCCXCIX	एक हज़ार आठ सौ निन्यानबे
MCM	एक हज़ार नौ सौ
MCMI	एक हज़ार नौ सौ एक
MCMII	एक हज़ार नौ सौ दो
MCMIII	एक हज़ार नौ सौ तीन
MCMIV	एक हज़ार नौ सौ चार
MCMV	एक हज़ार नौ सौ पाँच
MCMVI	एक हज़ार नौ सौ छह
MCMVII	एक हज़ार नौ सौ सात
MCMVIII	एक हज़ार नौ सौ आठ
MCMIX	एक हज़ार नौ सौ नौ
MCMX	एक हज़ार नौ सौ दस
MCMXI	एक हज़ार नौ सौ ग्यारह
MCMXII	एक हज़ार नौ सौ बारह
MCMXIII	एक हज़ार नौ सौ तेरह
MCMXIV	एक हज़ार नौ सौ चौदह
MCMXV	एक हज़ार नौ सौ पंद्रह
MCMXVI	एक हज़ार नौ सौ सोलह
MCMXVII	एक हज़ार नौ सौ सत्रह
MCMXVIII	एक हज़ार नौ सौ अठारह
MCMXIX	एक हज़ार नौ सौ उन्नीस
MCMXX	एक हज़ार नौ सौ बीस
MCMXXI	एक हज़ार नौ सौ इक्कीस
MCMXXII	एक हज़ार नौ सौ बाईस
MCMXXIII	एक हज़ार नौ सौ तेईस
MCMXXIV	एक हज़ार नौ सौ चौबीस
MCMXXV	एक हज़ार नौ सौ पच्चीस
MCMXXVI	एक हज़ार नौ सौ छब्बीस
MCMXXVII	एक हज़ार नौ सौ सत्ताईस
MCMXXVIII	एक हज़ार नौ सौ अट्ठाईस
MCMXXIX	एक हज़ार नौ सौ उनतीस
MCMXXX	एक हज़ार नौ सौ तीस
MCMXXXI	एक हज़ार नौ सौ इकतीस
MCMXXXII	एक हज़ार नौ सौ बत्तीस
MCMXXXIII	एक हज़ार नौ सौ तैंतीस
MCMXXXIV	एक हज़ार नौ सौ चौंतीस
MCMXXXV	एक हज़ार नौ सौ पैंतीस
MCMXXXVI	एक हज़ार नौ सौ छत्तीस
MCMXXXVII	एक हज़ार नौ सौ सैंतीस
MCMXXXVIII	एक हज़ार नौ सौ अड़तीस
MCMXXXIX	एक हज़ार नौ सौ उनतालीस
MCMXL	एक हज़ार नौ सौ चालीस
MCMXLI	एक हज़ार नौ सौ इकतालीस
MCMXLII	एक हज़ार नौ सौ बयालीस
MCMXLIII	एक हज़ार नौ सौ तैंतालीस
MCMXLIV	एक हज़ार नौ सौ चौवालीस
